"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
2.050000000E1,-7.313040326E-1,3.328951350E-2,3.861583566E-3
2.060000000E1,-6.949518838E-1,2.316950140E-2,2.130528864E-3
2.070000000E1,-6.615292123E-1,2.663161080E-2,8.255799348E-3
2.080000000E1,-6.265086441E-1,-6.524744646E-3,5.858954376E-3
2.090000000E1,-5.853628054E-1,3.275688128E-2,5.592638268E-3
2.100000000E1,-5.355616932E-1,3.728425512E-2,1.464738594E-3
2.110000000E1,-5.185174623E-1,2.303634334E-2,1.331580540E-3
2.120000000E1,-4.793689944E-1,2.410160777E-2,1.691107286E-2
2.130000000E1,-4.331631497E-1,3.821636150E-2,1.637844064E-2
2.140000000E1,-4.102599644E-1,3.129214269E-2,9.054747672E-3
2.150000000E1,-3.708451804E-1,1.131843459E-2,1.318264735E-2
2.160000000E1,-3.739078156E-1,2.490055610E-2,1.438106983E-2
2.170000000E1,-3.613909586E-1,2.982740410E-2,6.657902700E-3
2.180000000E1,-3.443467276E-1,3.755057123E-2,1.158475070E-2
2.190000000E1,-3.426156729E-1,2.490055610E-2,1.504686010E-2
2.200000000E1,-3.480751532E-1,3.262372323E-2,8.388957402E-3
2.210000000E1,-3.584614814E-1,2.583266248E-2,1.478054399E-2
2.220000000E1,-3.685814935E-1,2.982740410E-2,7.190534916E-3
2.230000000E1,-3.912183627E-1,2.476739804E-2,7.856325186E-3
2.240000000E1,-4.122573352E-1,1.997370810E-2,3.595267458E-3
2.250000000E1,-4.387557879E-1,2.996056215E-2,8.255799348E-3
2.260000000E1,-4.788363622E-1,2.303634334E-2,-2.130528864E-3
2.270000000E1,-5.158543012E-1,2.569950442E-2,1.185106681E-2
2.280000000E1,-5.487443405E-1,3.302319739E-2,5.326322160E-3
2.290000000E1,-5.842975410E-1,2.490055610E-2,5.060006052E-3
2.300000000E1,-6.291718052E-1,4.593952863E-2,2.396844972E-3
2.310000000E1,-6.637928992E-1,2.277002723E-2,6.125270484E-3
2.320000000E1,-6.872287167E-1,2.729740107E-2,1.211738291E-2
2.330000000E1,-7.245129718E-1,2.476739804E-2,1.291633124E-2
2.340000000E1,-7.511445826E-1,1.930791783E-2,4.127899674E-3
2.350000000E1,-7.590009078E-1,3.701793901E-2,5.592638268E-3
2.360000000E1,-7.689877619E-1,3.102582658E-2,3.595267458E-3
2.370000000E1,-7.488808957E-1,2.809634939E-2,3.328951350E-3
2.380000000E1,-7.506119504E-1,1.677791480E-2,1.105211848E-2
2.390000000E1,-7.354319322E-1,2.756371718E-2,2.796319134E-3
2.400000000E1,-6.936203033E-1,3.036003631E-2,2.130528864E-3
2.410000000E1,-6.645918475E-1,2.476739804E-2,4.127899674E-3
2.420000000E1,-6.306365437E-1,3.635214874E-2,6.791060754E-3
2.430000000E1,-5.981459786E-1,3.022687826E-2,5.459480214E-3
2.440000000E1,-5.668538359E-1,3.861583566E-2,9.187905726E-3
2.450000000E1,-5.077316599E-1,2.103897253E-2,3.195793296E-3
2.460000000E1,-4.736431981E-1,2.170476280E-2,9.587379888E-3
2.470000000E1,-4.434163198E-1,3.302319739E-2,1.291633124E-2
2.480000000E1,-4.169178671E-1,2.370213361E-2,1.078580237E-2
2.490000000E1,-3.902862563E-1,3.635214874E-2,5.193164106E-3
2.500000000E1,-3.677825451E-1,3.009372020E-2,8.788431564E-3
2.510000000E1,-3.526025270E-1,2.876213966E-2,1.131843459E-2
2.520000000E1,-3.556651622E-1,2.476739804E-2,1.451422789E-2
2.530000000E1,-3.512709465E-1,2.330265945E-2,1.185106681E-2
2.540000000E1,-3.436809374E-1,3.142530074E-2,1.251685708E-2
2.550000000E1,-3.588609555E-1,2.889529772E-2,4.660531890E-3
2.560000000E1,-3.755057123E-1,2.503371415E-2,8.788431564E-3
2.570000000E1,-3.993410039E-1,2.716424302E-2,2.796319134E-3
2.580000000E1,-4.077299613E-1,2.343581750E-2,1.171790875E-2
2.590000000E1,-4.314320950E-1,2.822950745E-2,9.720537942E-3
2.600000000E1,-4.708468789E-1,2.729740107E-2,1.012001210E-2
