"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
3.710000000E1,1.170459295E-1,-3.328951350E-3,1.864212756E-2
3.720000000E1,1.439438564E-1,2.663161080E-3,2.436792388E-2
3.730000000E1,1.217064614E-1,6.418218203E-2,3.102582658E-2
3.740000000E1,9.041431867E-2,1.141164523E-1,1.318264735E-2
3.750000000E1,1.328917379E-1,-4.567321252E-2,7.723167132E-3
3.760000000E1,9.574064083E-2,6.684534311E-2,2.356897556E-2
3.770000000E1,9.640643110E-2,8.615326094E-2,1.411475372E-2
3.780000000E1,1.089232882E-1,-7.057376862E-3,1.691107286E-2
3.790000000E1,1.009338049E-1,5.765743738E-2,1.984055005E-2
3.800000000E1,1.157143489E-1,3.728425512E-2,1.784317924E-2
3.810000000E1,1.306280510E-1,4.527373836E-3,2.969424604E-2
3.820000000E1,1.476722819E-1,-7.643272300E-2,2.636529469E-2
3.830000000E1,1.251685708E-1,3.182477491E-2,1.930791783E-2
3.840000000E1,1.105211848E-1,3.595267458E-3,1.304948929E-2
3.850000000E1,1.491370205E-1,-8.548747067E-2,3.462109404E-2
3.860000000E1,1.536643943E-1,-3.182477491E-2,2.277002723E-2
3.870000000E1,1.499359688E-1,-3.328951350E-2,2.809634939E-2
3.880000000E1,1.131843459E-1,4.607268668E-2,2.383529167E-2
3.890000000E1,1.166464553E-1,2.676476885E-2,1.318264735E-2
